Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Time,Payment,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,13:08,Ewallet,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,10:29,Cash,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,13:23,Credit card,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,20:33,Ewallet,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,10:37,Ewallet,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,18:30,Ewallet,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,14:36,Ewallet,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,11:38,Ewallet,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,17:15,Credit card,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,13:27,Credit card,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,18:07,Ewallet,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,17:03,Cash,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,10:25,Ewallet,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,16:48,Ewallet,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,19:21,Cash,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,16:19,Cash,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,11:03,Credit card,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,10:39,Credit card,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,18:00,Credit card,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,15:30,Ewallet,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,11:24,Ewallet,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,10:40,Ewallet,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,12:20,Credit card,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,11:15,Ewallet,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,17:36,Ewallet,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,19:20,Credit card,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,15:31,Cash,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,12:17,Credit card,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,19:48,Cash,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,15:36,Cash,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,19:39,Credit card,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,12:43,Cash,4.5
